id,name,autonomous_community,province,municipality,restriction_type,restriction_class,status,confidence,effect_start,effect_end,effect_date,effect_time_note,description,affected_transport_modes,affected_modes,exemptions,road_code,road_location_reference,road_reference,direction,planning_relevance,geometry_quality,map_query,source_urls,source_publisher,source_publishers,verification_timestamp,last_verified,notes
ar-hu-binefar-sanquilez-01,Sierra de San Quílez,Aragón,Huesca,Binéfar,motor_vehicle_access_ban,motor_vehicle_access_ban,reported_confirmed,high,2026-08-10T00:00:00+02:00,2026-08-14T00:00:00+02:00,,Restriction is stated as applying from 10 through 13 August.,Motor-vehicle access is prohibited under extraordinary eclipse-period wildfire-prevention measures.,motor_vehicle,motor_vehicle,property access;professional activities;urban access;emergency/general-interest operations,,,,,mountain_vehicle_access_prohibited,authority_named_place_no_boundary,"Sierra de San Quílez, Binéfar, Spain",https://cadenaser.com/aragon/2026/08/06/prohibido-el-acceso-con-vehiculos-a-motor-a-la-sierra-de-san-quilez-del-10-al-13-de-agosto-ser-aragon-oriental/,Cadena SER Aragón Oriental citing Decreto-Ley Aragón 2/2026,Cadena SER Aragón Oriental citing Decreto-Ley Aragón 2/2026,2026-08-07T08:17:00+02:00,2026-08-07T08:17:00+02:00,
ar-hu-fraga-cardiel-01,Cardiel eclipse observation area,Aragón,Huesca,Fraga,ticketed_capacity_access,ticketed_capacity_access,confirmed,high,,,2026-08-12,Registration is mandatory and has closed after reaching 600 people.,Access to the organized Cardiel observation area requires prior registration; the 600-person capacity is full.,public_entry,public_entry,,,,,,official_viewing_site_sold_out,authority_named_place_no_boundary,"Cardiel eclipse observation area, Fraga, Spain",https://www.fraga.org/contexto/fraga-al-dia/noticias/La-observacion-del-eclipse-en-Cardiel-completa-el-aforo-con-600-personas-inscritas/,Ayuntamiento de Fraga,Ayuntamiento de Fraga,2026-08-07T08:17:00+02:00,2026-08-07T08:17:00+02:00,
ar-te-jabaloyas-javalon-01,Monte Javalón,Aragón,Teruel,Jabaloyas,motor_vehicle_access_ban,motor_vehicle_access_ban,reported_confirmed,medium,,,2026-08-12,,The municipality prohibits road/motor-vehicle access to Monte Javalón on eclipse day for safety and protection of the mountain; pedestrian access remains possible.,motor_vehicle,motor_vehicle,,,,,,mountain_vehicle_access_prohibited,authority_named_place_no_boundary,"Monte Javalón, Jabaloyas, Spain",https://www.heraldo.es/noticias/aragon/teruel/2026/07/10/un-pueblo-teruel-con-66-vecinos-prohibe-subir-coche-su-montana-mas-alta-dia-eclipse-2035932.html,Heraldo de Aragón reporting Ayuntamiento de Jabaloyas,Heraldo de Aragón reporting Ayuntamiento de Jabaloyas,2026-08-07T08:17:00+02:00,2026-08-07T08:17:00+02:00,
ast-picos-lagos-01,Lagos de Covadonga road access,Asturias,Asturias,Cangas de Onís,seasonal_private_vehicle_access_ban,seasonal_private_vehicle_access_ban,confirmed_existing,high,2026-07-17T00:00:00+02:00,2026-09-07T00:00:00+02:00,,,"During the regulated summer period, private-vehicle access to Lagos de Covadonga is excluded 24 hours a day except expressly authorized vehicles; access is by regulated public transport.",private_motor_vehicle,private_motor_vehicle,expressly authorized vehicles,,,,,private_car_access_unavailable_on_eclipse_day,authority_named_place_no_boundary,"Lagos de Covadonga road access, Cangas de Onís, Spain",https://parquenacionalpicoseuropa.es/2026/06/,Parque Nacional de los Picos de Europa,Parque Nacional de los Picos de Europa,2026-08-07T08:17:00+02:00,2026-08-07T08:17:00+02:00,
ast-valdes-busto-01,Faro/Cabo Busto,Asturias,Asturias,Valdés,traffic_restriction,traffic_restriction,confirmed,high,,,2026-08-12,,Traffic is restricted at Faro de Busto; dedicated parking is provided at Busto.,motor_vehicle;parking,motor_vehicle;parking,,,,,,viewpoint_vehicle_access_restricted,authority_named_place_no_boundary,"Faro/Cabo Busto, Valdés, Spain",https://www.turismoluarcavaldes.es/eclipse2026/,Ayuntamiento de Valdés / Valdés Turismo,Ayuntamiento de Valdés / Valdés Turismo,2026-08-07T08:17:00+02:00,2026-08-07T08:17:00+02:00,
ast-valdes-carrasqueo-01,Barrio del Carrasqueo observation road,Asturias,Asturias,Valdés,road_closure_for_observation,road_closure_for_observation,confirmed,high,,,2026-08-12,,Road traffic is cut and the roadway is used as an observation area.,motor_vehicle,motor_vehicle,,,,,,road_closed_to_vehicles,authority_named_place_no_boundary,"Barrio del Carrasqueo observation road, Valdés, Spain",https://www.turismoluarcavaldes.es/eclipse2026/,Ayuntamiento de Valdés / Valdés Turismo,Ayuntamiento de Valdés / Valdés Turismo,2026-08-07T08:17:00+02:00,2026-08-07T08:17:00+02:00,
ast-valdes-faroluarca-01,Carretera/Bajada del Faro de Luarca,Asturias,Asturias,Valdés,road_closure_for_observation,road_closure_for_observation,confirmed,high,,,2026-08-12,,Vehicle traffic is cut for the eclipse observation area.,motor_vehicle,motor_vehicle,,,,,,road_closed_to_vehicles,authority_named_place_no_boundary,"Carretera/Bajada del Faro de Luarca, Valdés, Spain",https://www.turismoluarcavaldes.es/eclipse2026/,Ayuntamiento de Valdés / Valdés Turismo,Ayuntamiento de Valdés / Valdés Turismo,2026-08-07T08:17:00+02:00,2026-08-07T08:17:00+02:00,
ast-valdes-luarca-traffic-01,Luarca eclipse observation area,Asturias,Asturias,Valdés,traffic_restriction,traffic_restriction,confirmed,high,,,2026-08-12,,Traffic is restricted in Luarca on eclipse day; parking areas around observation points open from 11:30 and must be cleared by 13:00 on 13 August.,motor_vehicle;parking,motor_vehicle;parking,,,,,,urban_viewpoint_access_restricted,authority_named_place_no_boundary,"Luarca eclipse observation area, Valdés, Spain",https://www.turismoluarcavaldes.es/eclipse2026/,Ayuntamiento de Valdés / Valdés Turismo,Ayuntamiento de Valdés / Valdés Turismo,2026-08-07T08:17:00+02:00,2026-08-07T08:17:00+02:00,
bal-fo-01,Cap de Barbaria / Cala Saona access,Illes Balears,Illes Balears,Formentera,motor_vehicle_access_control,motor_vehicle_access_control,reported_confirmed,high,2026-08-12T16:00:00+02:00,2026-08-13T00:00:00+02:00,2026-08-12,,The Cap de Barbaria road is closed from the Cala Saona junction; lighthouse access is by the official shuttle only.,private_motor_vehicle,private_motor_vehicle,residents;authorized vehicles;emergency services,PM-820-1,junction toward Cap de Barbaria and Cala Saona,junction toward Cap de Barbaria and Cala Saona,,private_vehicle_access_restricted,authority_named_place_no_boundary,"Cap de Barbaria / Cala Saona access, Formentera, Spain",https://cadenaser.com/baleares/2026/08/05/dispositivo-especial-en-formentera-con-motivo-del-eclipse-solar-radio-ibiza/,Cadena SER / EFE quoting Consell de Formentera,Cadena SER / EFE quoting Consell de Formentera,2026-08-07T08:17:00+02:00,2026-08-07T08:17:00+02:00,Supersedes the earlier generic Balearic 15:00–21:00 time window for this access.
bal-fo-mola-lighthouse-01,Faro de la Mola,Illes Balears,Illes Balears,Formentera,site_closure,site_closure,reported_confirmed,high,,,2026-08-12,,Faro de la Mola will remain exceptionally closed to avoid large concentrations.,public_entry;vehicle_access;eclipse_observation,public_entry;vehicle_access;eclipse_observation,,,,,,viewing_location_unavailable,authority_named_place_no_boundary,"Faro de la Mola, Formentera, Spain",https://cadenaser.com/baleares/2026/08/05/dispositivo-especial-en-formentera-con-motivo-del-eclipse-solar-radio-ibiza/,Cadena SER / EFE quoting Consell de Formentera,Cadena SER / EFE quoting Consell de Formentera,2026-08-07T08:17:00+02:00,2026-08-07T08:17:00+02:00,
bal-fo-mola-market-01,Mercat de la Mola,Illes Balears,Illes Balears,Formentera,site_closure,site_closure,reported_confirmed,high,,,2026-08-12,,Mercat de la Mola will remain exceptionally closed to avoid large concentrations.,public_entry,public_entry,,,,,,site_unavailable,authority_named_place_no_boundary,"Mercat de la Mola, Formentera, Spain",https://cadenaser.com/baleares/2026/08/05/dispositivo-especial-en-formentera-con-motivo-del-eclipse-solar-radio-ibiza/,Cadena SER / EFE quoting Consell de Formentera,Cadena SER / EFE quoting Consell de Formentera,2026-08-07T08:17:00+02:00,2026-08-07T08:17:00+02:00,
bal-ib-01,Cala d'Hort access,Illes Balears,Illes Balears,Sant Josep de sa Talaia,motor_vehicle_access_control,motor_vehicle_access_control,confirmed,high,2026-08-12T15:00:00+02:00,2026-08-12T21:00:00+02:00,2026-08-12,"Controls may begin earlier or continue later for safety, congestion or full parking.",Motor-vehicle access is closed or regulated under the Balearic eclipse traffic plan.,car;motorcycle;moped,car;motorcycle;moped,accredited residents/property access;accredited workers;public transport;qualified accommodation/restaurant access;emergency/essential services;specifically authorized vehicles,,"Cala Vedella local road / Cala d'Hort local road, km 4.300","Cala Vedella local road / Cala d'Hort local road, km 4.300",,private_vehicle_access_restricted,official_road_reference_no_coordinates,"Cala d'Hort access, Sant Josep de sa Talaia, Spain",https://www.caib.es/webgoib/es/-/mesures-de-control-restricci%C3%B3-i-tancament-3,Govern de les Illes Balears,Govern de les Illes Balears,2026-08-07T08:17:00+02:00,2026-08-07T08:17:00+02:00,
bal-ib-02,Cala Comte access,Illes Balears,Illes Balears,Sant Josep de sa Talaia,motor_vehicle_access_control,motor_vehicle_access_control,confirmed,high,2026-08-12T15:00:00+02:00,2026-08-12T21:00:00+02:00,2026-08-12,"Controls may begin earlier or continue later for safety, congestion or full parking.",Motor-vehicle access is closed or regulated under the Balearic eclipse traffic plan.,car;motorcycle;moped,car;motorcycle;moped,accredited residents/property access;accredited workers;public transport;qualified accommodation/restaurant access;emergency/essential services;specifically authorized vehicles,EI-701,km 4.500,km 4.500,,private_vehicle_access_restricted,official_road_reference_no_coordinates,"Cala Comte access, Sant Josep de sa Talaia, Spain",https://www.caib.es/webgoib/es/-/mesures-de-control-restricci%C3%B3-i-tancament-3,Govern de les Illes Balears,Govern de les Illes Balears,2026-08-07T08:17:00+02:00,2026-08-07T08:17:00+02:00,
bal-ib-03,Cala Molí access,Illes Balears,Illes Balears,Sant Josep de sa Talaia,motor_vehicle_access_control,motor_vehicle_access_control,confirmed,high,2026-08-12T15:00:00+02:00,2026-08-12T21:00:00+02:00,2026-08-12,"Controls may begin earlier or continue later for safety, congestion or full parking.",Motor-vehicle access is closed or regulated under the Balearic eclipse traffic plan.,car;motorcycle;moped,car;motorcycle;moped,accredited residents/property access;accredited workers;public transport;qualified accommodation/restaurant access;emergency/essential services;specifically authorized vehicles,,"Cala Molí road / Cala Tarida intersection, km 3.600","Cala Molí road / Cala Tarida intersection, km 3.600",,private_vehicle_access_restricted,official_road_reference_no_coordinates,"Cala Molí access, Sant Josep de sa Talaia, Spain",https://www.caib.es/webgoib/es/-/mesures-de-control-restricci%C3%B3-i-tancament-3,Govern de les Illes Balears,Govern de les Illes Balears,2026-08-07T08:17:00+02:00,2026-08-07T08:17:00+02:00,
