id,name,autonomous_community,province,municipality,island,restriction_class,status,confidence,effect_start,effect_end,effect_date,effect_time_note,description,affected_modes,exemptions,road_code,road_reference,direction,planning_relevance,geometry_type,geometry_quality,map_query,source_urls,source_publishers,last_verified,notes
gal-ac-01,Torre de Hércules,Galicia,A Coruña,A Coruña,,eclipse_observation_exclusion,provisional_confirmed_list,medium,,,2026-08-12,Exact hours and boundary not published.,Observation of the eclipse is prohibited at this named exclusion point. The 29-point list was described as provisional.,pedestrian; vehicle_access; eclipse_observation,,,,,viewing_location_unavailable,,authority_named_place_no_boundary,"Torre de Hércules, A Coruña, A Coruña, Galicia, Spain",https://www.europapress.es/galego/noticia-torre-hercules-monte-pindo-fucino-do-porco-os-29-puntos-exclusion-eclipse-20260728154101.html; https://cadenaser.com/galicia/2026/07/28/las-zonas-prohibidas-para-el-eclipse-de-sol-donde-no-se-podra-ver-la-cita-del-12-de-agosto-en-galicia-radio-galicia/,Europa Press Galicia; Cadena SER Galicia,2026-08-02T09:30:00+02:00,No polygon or precise perimeter was published; do not infer that only a single map pin is excluded.
gal-ac-02,Illas de San Pedro,Galicia,A Coruña,A Coruña,,eclipse_observation_exclusion,provisional_confirmed_list,medium,,,2026-08-12,Exact hours and boundary not published.,Observation of the eclipse is prohibited at this named exclusion point. The 29-point list was described as provisional.,pedestrian; vehicle_access; eclipse_observation,,,,,viewing_location_unavailable,,authority_named_place_no_boundary,"Illas de San Pedro, A Coruña, A Coruña, Galicia, Spain",https://www.europapress.es/galego/noticia-torre-hercules-monte-pindo-fucino-do-porco-os-29-puntos-exclusion-eclipse-20260728154101.html; https://cadenaser.com/galicia/2026/07/28/las-zonas-prohibidas-para-el-eclipse-de-sol-donde-no-se-podra-ver-la-cita-del-12-de-agosto-en-galicia-radio-galicia/,Europa Press Galicia; Cadena SER Galicia,2026-08-02T09:30:00+02:00,No polygon or precise perimeter was published; do not infer that only a single map pin is excluded.
gal-ac-03,Praia do Pedrido,Galicia,A Coruña,Bergondo,,eclipse_observation_exclusion,provisional_confirmed_list,medium,,,2026-08-12,Exact hours and boundary not published.,Observation of the eclipse is prohibited at this named exclusion point. The 29-point list was described as provisional.,pedestrian; vehicle_access; eclipse_observation,,,,,viewing_location_unavailable,,authority_named_place_no_boundary,"Praia do Pedrido, Bergondo, A Coruña, Galicia, Spain",https://www.europapress.es/galego/noticia-torre-hercules-monte-pindo-fucino-do-porco-os-29-puntos-exclusion-eclipse-20260728154101.html; https://cadenaser.com/galicia/2026/07/28/las-zonas-prohibidas-para-el-eclipse-de-sol-donde-no-se-podra-ver-la-cita-del-12-de-agosto-en-galicia-radio-galicia/,Europa Press Galicia; Cadena SER Galicia,2026-08-02T09:30:00+02:00,No polygon or precise perimeter was published; do not infer that only a single map pin is excluded.
gal-ac-04,Miradoiro de Cabana,Galicia,A Coruña,,,eclipse_observation_exclusion,provisional_confirmed_list,medium,,,2026-08-12,Exact hours and boundary not published.,Observation of the eclipse is prohibited at this named exclusion point. The 29-point list was described as provisional.,pedestrian; vehicle_access; eclipse_observation,,,,,viewing_location_unavailable,,authority_named_place_no_boundary,"Miradoiro de Cabana, A Coruña, Galicia, Spain",https://www.europapress.es/galego/noticia-torre-hercules-monte-pindo-fucino-do-porco-os-29-puntos-exclusion-eclipse-20260728154101.html; https://cadenaser.com/galicia/2026/07/28/las-zonas-prohibidas-para-el-eclipse-de-sol-donde-no-se-podra-ver-la-cita-del-12-de-agosto-en-galicia-radio-galicia/,Europa Press Galicia; Cadena SER Galicia,2026-08-02T09:30:00+02:00,No polygon or precise perimeter was published; do not infer that only a single map pin is excluded.
gal-ac-05,A Berberecheira,Galicia,A Coruña,,,eclipse_observation_exclusion,provisional_confirmed_list,medium,,,2026-08-12,Exact hours and boundary not published.,Observation of the eclipse is prohibited at this named exclusion point. The 29-point list was described as provisional.,pedestrian; vehicle_access; eclipse_observation,,,,,viewing_location_unavailable,,authority_named_place_no_boundary,"A Berberecheira, A Coruña, Galicia, Spain",https://www.europapress.es/galego/noticia-torre-hercules-monte-pindo-fucino-do-porco-os-29-puntos-exclusion-eclipse-20260728154101.html; https://cadenaser.com/galicia/2026/07/28/las-zonas-prohibidas-para-el-eclipse-de-sol-donde-no-se-podra-ver-la-cita-del-12-de-agosto-en-galicia-radio-galicia/,Europa Press Galicia; Cadena SER Galicia,2026-08-02T09:30:00+02:00,No polygon or precise perimeter was published; do not infer that only a single map pin is excluded.
gal-ac-06,Praia de Carnota,Galicia,A Coruña,Carnota,,eclipse_observation_exclusion,provisional_confirmed_list,medium,,,2026-08-12,Exact hours and boundary not published.,Observation of the eclipse is prohibited at this named exclusion point. The 29-point list was described as provisional.,pedestrian; vehicle_access; eclipse_observation,,,,,viewing_location_unavailable,,authority_named_place_no_boundary,"Praia de Carnota, Carnota, A Coruña, Galicia, Spain",https://www.europapress.es/galego/noticia-torre-hercules-monte-pindo-fucino-do-porco-os-29-puntos-exclusion-eclipse-20260728154101.html; https://cadenaser.com/galicia/2026/07/28/las-zonas-prohibidas-para-el-eclipse-de-sol-donde-no-se-podra-ver-la-cita-del-12-de-agosto-en-galicia-radio-galicia/,Europa Press Galicia; Cadena SER Galicia,2026-08-02T09:30:00+02:00,No polygon or precise perimeter was published; do not infer that only a single map pin is excluded.
gal-ac-07,Monte Pindo,Galicia,A Coruña,Carnota,,eclipse_observation_exclusion,provisional_confirmed_list,medium,,,2026-08-12,Exact hours and boundary not published.,Observation of the eclipse is prohibited at this named exclusion point. The 29-point list was described as provisional.,pedestrian; vehicle_access; eclipse_observation,,,,,viewing_location_unavailable,,authority_named_place_no_boundary,"Monte Pindo, Carnota, A Coruña, Galicia, Spain",https://www.europapress.es/galego/noticia-torre-hercules-monte-pindo-fucino-do-porco-os-29-puntos-exclusion-eclipse-20260728154101.html; https://cadenaser.com/galicia/2026/07/28/las-zonas-prohibidas-para-el-eclipse-de-sol-donde-no-se-podra-ver-la-cita-del-12-de-agosto-en-galicia-radio-galicia/,Europa Press Galicia; Cadena SER Galicia,2026-08-02T09:30:00+02:00,No polygon or precise perimeter was published; do not infer that only a single map pin is excluded.
gal-ac-08,As Furnas,Galicia,A Coruña,Oleiros,,eclipse_observation_exclusion,provisional_confirmed_list,medium,,,2026-08-12,Exact hours and boundary not published.,Observation of the eclipse is prohibited at this named exclusion point. The 29-point list was described as provisional.,pedestrian; vehicle_access; eclipse_observation,,,,,viewing_location_unavailable,,authority_named_place_no_boundary,"As Furnas, Oleiros, A Coruña, Galicia, Spain",https://www.europapress.es/galego/noticia-torre-hercules-monte-pindo-fucino-do-porco-os-29-puntos-exclusion-eclipse-20260728154101.html; https://cadenaser.com/galicia/2026/07/28/las-zonas-prohibidas-para-el-eclipse-de-sol-donde-no-se-podra-ver-la-cita-del-12-de-agosto-en-galicia-radio-galicia/,Europa Press Galicia; Cadena SER Galicia,2026-08-02T09:30:00+02:00,No polygon or precise perimeter was published; do not infer that only a single map pin is excluded.
gal-lu-01,Castelo de Castro de Ouro,Galicia,Lugo,Alfoz,,eclipse_observation_exclusion,provisional_confirmed_list,medium,,,2026-08-12,Exact hours and boundary not published.,Observation of the eclipse is prohibited at this named exclusion point. The 29-point list was described as provisional.,pedestrian; vehicle_access; eclipse_observation,,,,,viewing_location_unavailable,,authority_named_place_no_boundary,"Castelo de Castro de Ouro, Alfoz, Lugo, Galicia, Spain",https://www.europapress.es/galego/noticia-torre-hercules-monte-pindo-fucino-do-porco-os-29-puntos-exclusion-eclipse-20260728154101.html; https://cadenaser.com/galicia/2026/07/28/las-zonas-prohibidas-para-el-eclipse-de-sol-donde-no-se-podra-ver-la-cita-del-12-de-agosto-en-galicia-radio-galicia/,Europa Press Galicia; Cadena SER Galicia,2026-08-02T09:30:00+02:00,No polygon or precise perimeter was published; do not infer that only a single map pin is excluded.
gal-lu-02,A Anguieira,Galicia,Lugo,Barreiros,,eclipse_observation_exclusion,provisional_confirmed_list,medium,,,2026-08-12,Exact hours and boundary not published.,Observation of the eclipse is prohibited at this named exclusion point. The 29-point list was described as provisional.,pedestrian; vehicle_access; eclipse_observation,,,,,viewing_location_unavailable,,authority_named_place_no_boundary,"A Anguieira, Barreiros, Lugo, Galicia, Spain",https://www.europapress.es/galego/noticia-torre-hercules-monte-pindo-fucino-do-porco-os-29-puntos-exclusion-eclipse-20260728154101.html; https://cadenaser.com/galicia/2026/07/28/las-zonas-prohibidas-para-el-eclipse-de-sol-donde-no-se-podra-ver-la-cita-del-12-de-agosto-en-galicia-radio-galicia/,Europa Press Galicia; Cadena SER Galicia,2026-08-02T09:30:00+02:00,No polygon or precise perimeter was published; do not infer that only a single map pin is excluded.
